epoch,Base1,Base2,Base3,Base4,Fingertip1,Fingertip2,Fingertip3,Fingertip4,Knuckle1,Knuckle2,Knuckle3,Knuckle4,Palmcenter,Upperarm,Wrist,loss,lr,val_Base1,val_Base2,val_Base3,val_Base4,val_Fingertip1,val_Fingertip2,val_Fingertip3,val_Fingertip4,val_Knuckle1,val_Knuckle2,val_Knuckle3,val_Knuckle4,val_Palmcenter,val_Upperarm,val_Wrist,val_loss
0,0.0007498917984776199,0.001316400128416717,0.0015274991746991873,0.0014773582806810737,0.0007032952271401882,0.0013603924307972193,0.001473661046475172,0.0014984167646616697,0.0008387743146158755,0.0013690907508134842,0.00158375920727849,0.001567237195558846,0.0011762327048927546,0.0014370585558936,0.0012610491830855608,0.0012893410166725516,1e-04,0.000671057146973908,0.0012251643929630518,0.0014185223262757063,0.001394246588461101,0.0006193026201799512,0.001432856428436935,0.0014941076515242457,0.0015462501905858517,0.0007247672183439136,0.0013338816352188587,0.0015725576085969806,0.0014974696096032858,0.001046734512783587,0.0014976172242313623,0.001181823550723493,0.0012437572004273534
1,0.0007464022492058575,0.0012780375545844436,0.0014986578607931733,0.0014344402588903904,0.0007034652517177165,0.0013371760724112391,0.001463215914554894,0.0014789317501708865,0.0008664353517815471,0.0013466353993862867,0.001575408037751913,0.0015556595753878355,0.0011558413971215487,0.0014461228856816888,0.0012456118129193783,0.0012754701310768723,1e-04,0.0006665693945251405,0.00120276038069278,0.001395401544868946,0.0013803880428895354,0.0006160715711303055,0.001432508579455316,0.0014813600573688745,0.0015359079698100686,0.0007192371995188296,0.0013161854585632682,0.0015474162064492702,0.0014877906069159508,0.0010320893488824368,0.0014907013392075896,0.0011764083756133914,0.0012320532696321607
2,0.0007548631983809173,0.001265928614884615,0.0014615509426221251,0.0014392471639439464,0.0007124962867237628,0.001344227115623653,0.0014616389526054263,0.0014773878501728177,0.000849397387355566,0.0013275690143927932,0.0015394547954201698,0.0015416288515552878,0.0011354858288541436,0.0014362388756126165,0.0012463040184229612,0.001266227918677032,1e-04,0.0006566245574504137,0.0011290480615571141,0.001300772768445313,0.001317993039265275,0.0006160181947052479,0.0014317467575892806,0.0014689177041873336,0.0015407433966174722,0.0007104462129063904,0.0012585929362103343,0.001480799401178956,0.0014637853018939495,0.0009874531533569098,0.0014819343341514468,0.0011632207315415144,0.001200539874844253
3,0.0007011513807810843,0.0011716551380231977,0.0013500190107151866,0.0013612188631668687,0.000683422782458365,0.0013114487519487739,0.0014533654320985079,0.0014722216874361038,0.0008221696480177343,0.0012728283181786537,0.0014839109499007463,0.0015207028482109308,0.0010313033126294613,0.0014193286187946796,0.0012063262984156609,0.0012174053117632866,1e-04,0.0006691825110465288,0.001204364001750946,0.0013491719728335738,0.0013152937171980739,0.000603098887950182,0.0013909500557929277,0.0015138289891183376,0.00153082306496799,0.0007192857447080314,0.0013037717435508966,0.001547942403703928,0.0014774753944948316,0.0009106465149670839,0.0014798814663663507,0.0011369461426511407,0.0012101774336770177
4,0.0007131285965442657,0.0011032522888854146,0.0012634554877877235,0.001319279195740819,0.0006953516858629882,0.00128842587582767,0.001443701796233654,0.001472297590225935,0.0008254460408352315,0.0011894110357388854,0.0014113136567175388,0.0014995201490819454,0.0009398413239978254,0.00140126992482692,0.0011986724566668272,0.0011842914391309023,1e-04,0.0006263426621444523,0.0009718260262161493,0.0011253119446337223,0.0011815015459433198,0.0006050373194739223,0.0014263351913541555,0.0014808112755417824,0.0015175563748925924,0.0007009606342762709,0.0011099528055638075,0.0013537206687033176,0.001379515859298408,0.0007929152343422174,0.0014282457996159792,0.0011029987363144755,0.0011202021269127727
5,0.0006716807838529348,0.0010275192325934768,0.0011695516295731068,0.0012165463995188475,0.0007052926230244339,0.001249583438038826,0.0014150183415040374,0.0014424939872696996,0.0008203277830034494,0.001123796682804823,0.0013238220708444715,0.001402037451043725,0.0008307694224640727,0.001339818467386067,0.0011195092229172587,0.0011238513980060816,1e-04,0.0006126293446868658,0.0009511818061582744,0.0010306346230208874,0.0011411273153498769,0.000608871050644666,0.0013155610067769885,0.0014001823728904128,0.0014822325902059674,0.0006800118717364967,0.0010472694411873817,0.0011944142170250416,0.0012661691289395094,0.0007815139251761138,0.001395093509927392,0.0010925509268417954,0.0010666295420378447
6,0.0006560602341778576,0.000975041592027992,0.0010973745957016945,0.001154569094069302,0.0007007700041867793,0.0012368644820526242,0.0014133546501398087,0.0014246853534132242,0.0007931746076792479,0.0010765913175418973,0.0012416377430781722,0.0013119046343490481,0.0007591182366013527,0.0012172892456874251,0.0010180898243561387,0.001071768463589251,1e-04,0.0005679141613654792,0.0008390857256017625,0.0009088238002732396,0.0009660081123001873,0.000611394178122282,0.0012715873308479786,0.001411123899742961,0.0014711166732013226,0.0006537850713357329,0.0009790704352781177,0.0011262958869338036,0.0011254542041569948,0.0006368039175868034,0.0011761731002479792,0.0009133421117439866,0.0009771985933184624
7,0.0006557486485689878,0.0009265459957532585,0.0010076946346089244,0.0010488389525562525,0.000683790713082999,0.0011901322286576033,0.0013651076005771756,0.001383911818265915,0.0007844340289011598,0.0010137706995010376,0.0011501157423481345,0.0011825528927147388,0.0007354875560849905,0.0011438856599852443,0.0009370354819111526,0.0010139370569959283,1e-04,0.0005368405254557729,0.0007462300709448755,0.000875295081641525,0.0008851638995110989,0.0006107587832957506,0.001240038895048201,0.001356326276436448,0.0014776719035580754,0.0006452432135120034,0.0009442621958442032,0.0010140584781765938,0.0010328941280022264,0.0006044403999112546,0.0011460705427452922,0.0007814033888280392,0.0009264465188607574
8,0.0006241899100132287,0.000861168431583792,0.0009378643007948995,0.0009976716246455908,0.0006960089085623622,0.0011459138477221131,0.0013208024902269244,0.0013712915824726224,0.0007640119292773306,0.0009505179477855563,0.0010963971726596355,0.001105821575038135,0.0006558314780704677,0.001106221810914576,0.000832417223136872,0.0009644087986089289,1e-04,0.000566973933018744,0.0008548201876692474,0.0009444059687666595,0.0010134987533092499,0.0005970860947854817,0.0012307276483625174,0.0013220262480899692,0.00137384794652462,0.0006443998427130282,0.0009376336238346994,0.0010748155182227492,0.0010573469335213304,0.0006167132523842156,0.001134534366428852,0.0007080424693413079,0.0009384582517668605
9,0.0006161456112749875,0.0008407799177803099,0.0008781524375081062,0.0009355720249004662,0.0006787914899177849,0.0011019454104825854,0.0012750638416036963,0.001308297156356275,0.0007541473605670035,0.0009160226327367127,0.0010441867634654045,0.0010441942140460014,0.0006657130434177816,0.0011060649994760752,0.0006959055317565799,0.0009240652434527874,1e-04,0.0005415182677097619,0.0007206288282759488,0.0007618795498274267,0.0008433489711023867,0.0005854822229593992,0.0011690817773342133,0.0012682151282206178,0.001362503506243229,0.0006379036931321025,0.0008082670974545181,0.0009646702092140913,0.0009432129445485771,0.0005959420814178884,0.0010480928467586637,0.00056178227532655,0.000854168611112982
