epoch,loss,lr,val_loss
0,0.0002455325156915933,1e-04,0.0002447883889544755
1,0.00024473678786307573,1e-04,0.00024469976779073477
2,0.0002445401332806796,1e-04,0.0002444065175950527
3,0.0002443227276671678,1e-04,0.00024418174871243536
4,0.00024334147747140378,1e-04,0.0002420799428364262
5,0.0002394346083747223,1e-04,0.0002334812597837299
6,0.0002440104290144518,1e-04,0.00024343862605746835
7,0.0002415413036942482,1e-04,0.0002441291871946305
8,0.00023591352510266006,1e-04,0.000238295309827663
9,0.00021764922712463886,1e-04,0.00021340213424991816
10,0.00020117443636991084,1e-04,0.0001884483644971624
11,0.00019104480452369899,1e-04,0.00019145285477861762
12,0.00018321050447411835,1e-04,0.00018037966219708323
13,0.0001787391083780676,1e-04,0.0001922066294355318
14,0.00017488753655925393,1e-04,0.0001739675208227709
15,0.00017075498180929571,1e-04,0.0001725244364934042
16,0.00016434538702014834,1e-04,0.00016741882427595556
17,0.00016183167463168502,1e-04,0.00019388367945794016
18,0.00015960194286890328,1e-04,0.00015991403779480606
19,0.00015473725215997547,1e-04,0.00016193234478123486
20,0.0001519512152299285,1e-04,0.00015418911061715335
21,0.000148763443576172,1e-04,0.00015451753279194236
22,0.00014751419075764716,1e-04,0.00015343840641435236
23,0.00014437500794883817,1e-04,0.0001498497585998848
24,0.00013987233978696167,1e-04,0.00014907922013662755
25,0.0001425707305315882,1e-04,0.00015245199028868228
26,0.00013224421127233654,1e-04,0.0001492958253948018
27,0.00013497602776624262,1e-04,0.0001536788622615859
28,0.0001329293445451185,1e-04,0.00015302930842153728
29,0.00012499891454353929,5e-05,0.00014095980441197753
30,0.00012082545435987413,5e-05,0.00014457112411037087
31,0.00012177163443993777,5e-05,0.00013963677338324487
32,0.00011789643031079322,5e-05,0.00014199053111951798
33,0.00011586803157115355,5e-05,0.0001386854419251904
34,0.00011552016076166183,5e-05,0.00014290584658738226
35,0.00011390032159397379,5e-05,0.00013824886991642416
36,0.00011123398144263774,5e-05,0.00013697356916964054
37,0.00011089084728155285,5e-05,0.000142714983667247
38,0.00011122485011583194,5e-05,0.0001432751741958782
39,0.00011016758071491495,5e-05,0.0001381651236442849
40,0.00010647713497746736,5e-05,0.00013991235755383968
41,0.00010571502934908494,5e-05,0.00014610722428187728
42,0.00010096393816638738,2.5e-05,0.00013811414828523993
43,9.946089994627982e-05,2.5e-05,0.00013339715951588005
44,9.768379823071882e-05,2.5e-05,0.00013475377636495978
45,9.587805834598839e-05,2.5e-05,0.00013640380348078907
46,9.848063200479373e-05,2.5e-05,0.000135264519485645
47,9.307698928751051e-05,2.5e-05,0.00014093586651142687
48,9.31627509999089e-05,2.5e-05,0.0001386601506965235
49,8.874337072484195e-05,1.25e-05,0.00013050955021753907
50,8.839925430947915e-05,1.25e-05,0.0001327597419731319
51,8.970589260570705e-05,1.25e-05,0.0001394329738104716
52,8.763021469349042e-05,1.25e-05,0.00012893562961835414
53,8.686140063218772e-05,1.25e-05,0.00013277547259349376
54,8.668272494105622e-05,1.25e-05,0.00012849803897552192
55,8.517802780261263e-05,1.25e-05,0.00013454610598273575
56,8.534044172847643e-05,1.25e-05,0.0001293487148359418
57,8.34803213365376e-05,1.25e-05,0.0001394309219904244
58,8.521645941073075e-05,6.25e-06,0.00012815195077564567
59,8.188689389498904e-05,6.25e-06,0.00013628831948153675
60,8.084089495241642e-05,6.25e-06,0.00013197101361583918
61,8.122466533677652e-05,6.25e-06,0.0001345475175185129
62,8.075447840383276e-05,6.25e-06,0.00013619119999930263
63,8.118860569084063e-05,6.25e-06,0.0001352700055576861
64,7.934081077110022e-05,6.25e-06,0.00013221686822362244
65,8.139882265822962e-05,3.125e-06,0.00013765103358309716
66,7.841026672394946e-05,3.125e-06,0.0001365699281450361
67,7.925991667434573e-05,3.125e-06,0.00012882678129244596
68,7.878640462877229e-05,3.125e-06,0.00013433310959953815
69,7.899887714302167e-05,3.125e-06,0.00013274150842335075
70,7.881342753535137e-05,3.125e-06,0.00013425150245893747
71,7.710353384027258e-05,3.125e-06,0.00013780868903268129
72,7.823621854186058e-05,1.5625e-06,0.0001281216973438859
73,7.614157948410138e-05,1.5625e-06,0.00013342979946173728
74,7.893371366662905e-05,1.5625e-06,0.00013474402658175677
75,7.785738125676289e-05,1.5625e-06,0.00012844479351770133
76,7.74211875977926e-05,1.5625e-06,0.00013874949945602566
77,7.659448601771146e-05,1.5625e-06,0.00013815441343467683
78,7.850483962101862e-05,1.5625e-06,0.0001281255972571671
79,7.759567233733833e-05,7.8125e-07,0.00013370650412980467
80,7.600450771860778e-05,7.8125e-07,0.0001385166688123718
81,8.025829447433352e-05,7.8125e-07,0.00013609460438601673
82,7.615052891196683e-05,7.8125e-07,0.00012761740072164685
83,7.79331021476537e-05,7.8125e-07,0.00012877405970357358
84,7.638534589204937e-05,7.8125e-07,0.00013337562268134207
85,7.720662688370794e-05,7.8125e-07,0.00013721674622502178
86,7.654357614228502e-05,7.8125e-07,0.0001374482235405594
87,7.564208499388769e-05,7.8125e-07,0.00013323819439392537
88,7.584414561279118e-05,3.90625e-07,0.00013457951718010008
89,7.864560757298023e-05,3.90625e-07,0.00013420578034128994
90,7.601705874549225e-05,3.90625e-07,0.00013479155313689262
91,7.603307312820107e-05,3.90625e-07,0.0001363779156235978
92,7.874411676311865e-05,3.90625e-07,0.00013207533629611135
93,7.606021245010197e-05,3.90625e-07,0.0001350383390672505
94,7.694791565882042e-05,3.90625e-07,0.00012790165783371776
95,7.802728214301169e-05,1.953125e-07,0.00013521047367248684
96,7.291560905287042e-05,1.953125e-07,0.00013440000475384295
97,7.72411804064177e-05,1.953125e-07,0.00013592273171525449
98,7.867526437621564e-05,1.953125e-07,0.00013493120786733925
99,7.712545630056411e-05,1.953125e-07,0.0001391586265526712
100,7.526949048042297e-05,1.953125e-07,0.00013085498358123004
